Age,Game_Played,PA,At_Bat,Run,Hit,Double,Homerun,RBI,SO,BB,BA
28,122,222,192,17,45,8,2,15,37,26,0.234
26,88,219,194,31,47,5,7,29,62,21,0.242
24,95,204,172,31,36,7,6,29,52,28,0.209
32,69,189,171,19,42,10,4,20,36,17,0.246
32,110,335,291,30,72,12,2,26,49,38,0.247
24,152,595,530,78,167,37,25,97,54,53,0.315
30,153,638,584,73,161,39,12,66,88,39,0.276
25,162,712,647,80,177,25,9,59,70,38,0.274
30,162,697,645,108,206,28,46,144,89,40,0.319
34,161,695,662,97,219,48,22,122,76,28,0.331
33,100,405,357,54,102,22,16,54,80,39,0.286
31,130,524,454,113,165,46,23,67,61,64,0.363
35,113,303,259,43,75,17,9,39,57,37,0.29
33,51,225,194,30,65,9,5,25,20,23,0.335
28,92,318,274,35,71,14,11,34,74,35,0.259
23,146,630,562,71,151,20,22,72,123,67,0.269
27,139,564,502,67,139,21,9,44,97,43,0.277
32,155,645,549,79,138,29,20,67,129,81,0.251
32,135,557,510,72,136,26,20,71,102,43,0.267
24,124,453,416,43,108,19,5,51,103,33,0.26
35,146,627,563,84,157,32,22,85,102,42,0.279
22,113,354,333,39,74,10,9,43,78,18,0.222
24,106,318,293,46,80,16,18,41,52,18,0.273
26,98,238,212,23,48,9,2,17,43,24,0.226
25,91,225,206,17,41,7,9,30,46,14,0.199
28,57,183,168,17,48,14,3,14,43,11,0.286
30,91,334,304,21,63,11,3,24,46,22,0.207
34,151,649,564,73,160,33,19,81,118,79,0.284
24,150,558,515,49,138,26,5,46,44,24,0.268
28,112,381,336,37,70,11,6,25,80,27,0.208
24,117,416,370,44,102,15,11,55,110,34,0.276
28,106,303,279,39,67,11,10,33,80,22,0.24
27,155,675,614,77,179,38,7,59,107,41,0.292
33,90,347,309,31,79,11,3,20,52,35,0.256
32,137,495,435,40,98,27,17,57,133,54,0.225
40,123,483,435,51,122,23,7,52,54,46,0.28
24,109,379,338,51,94,9,1,17,69,29,0.278
27,95,315,299,30,97,16,0,29,51,9,0.324
